N,P,T
10,4,-1
110,29,-1
210,46,-1
310,63,-1
410,80,-1
510,97,-1
610,111,-1
710,127,-1
810,140,-1
910,155,-1
1010,169,-1
1110,186,-1
1210,197,-1
1310,214,-1
1410,223,-1
1510,239,-1
1610,254,-1
1710,267,-1
1810,279,-1
1910,292,-1
2010,304,-1
2110,317,-1
2210,329,-1
2310,343,-1
2410,357,-1
2510,368,-1
2610,379,-1
2710,394,-1
2810,409,-1
2910,421,-1
3010,431,-1
3110,443,-1
3210,454,-1
3310,465,-1
3410,479,-1
3510,489,-1
3610,504,-1
3710,518,-1
3810,529,-1
3910,540,-1
4010,553,-1
4110,565,-1
4210,575,-1
4310,590,-1
4410,600,-1
4510,611,-1
4610,623,-1
4710,635,-1
4810,647,-1
4910,656,-1
5010,671,-1
5110,683,-1
5210,693,-1
5310,704,-1
5410,713,-1
5510,728,-1
5610,738,-1
5710,751,-1
5810,762,-1
5910,777,-1
6010,784,-1
6110,796,-1
6210,807,-1
6310,820,-1
6410,834,-1
6510,842,-1
6610,854,-1
6710,866,-1
6810,876,-1
6910,888,-1
7010,901,-1
7110,911,-1
7210,920,-1
7310,932,-1
7410,939,-1
7510,951,-1
7610,967,-1
7710,978,-1
7810,987,-1
7910,999,-1
8010,1008,-1
8110,1019,-1
8210,1029,-1
8310,1042,-1
8410,1051,-1
8510,1060,-1
8610,1072,-1
8710,1085,-1
8810,1097,-1
8910,1108,-1
9010,1119,-1
9110,1130,-1
9210,1142,-1
9310,1151,-1
9410,1163,-1
9510,1177,-1
9610,1185,-1
9710,1197,-1
9810,1209,-1
9910,1222,-1
